PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P04485,KK Nagar,1724,22-08-2010,107,2.0,1.0,4,Normal Sale,Yes,25-08-1996,Commercial,NoSewr ,Paved,RH,4.5,4.7,4.0,4.36,503359,133242,14804680
P05764,Karapakkam,1623,26-12-2009,138,2.0,2.0,4,Partial,Yes,31-12-1990,House,NoSewr ,Paved,I,2.0,4.8,2.4,3.0,317230,190338,7930750
P07500,Chrompet,1174,21-10-2008,8,1.0,1.0,3,Family,No,30-10-1973,Commercial,ELO,Paved,RM,3.9,3.2,3.1,3.38,413176,159939,13328250
P06514,KK Nagar,1988,03-08-2009,169,3.0,2.0,5,Normal Sale,No,06-08-1997,Others,NoSeWa,Gravel,RL,2.1,2.1,2.3,2.18,458664,217865,11466600
P00821,Chrompet,736,03-07-2013,143,1.0,1.0,2,AbNormal,No,10-07-1985,Commercial,NoSeWa,Gravel,RH,4.7,3.3,2.0,3.33,301939,94356,9435600
P01132,T Nagar,1900,07-12-2012,113,2.0,1.0,5,Family,Yes,11-12-1997,Commercial,NoSeWa,Gravel,RL,4.9,2.9,3.0,3.545,887450,266235,22186250
P00132,Anna Nagar,1799,22-11-2014,39,1.0,1.0,4,Normal Sale,No,01-12-1977,Others,NoSewr ,No Access,RM,2.9,3.0,5.0,3.765,329477,158149,13179060
P07898,KK Nagar,1729,01-07-2008,112,2.0,1.0,4,Partial,No,08-07-1981,House,NoSewr ,Gravel,RH,4.6,5.0,3.0,4.08,444837,124554,8896740
P06306,Adyar,985,16-09-2009,73,1.0,1.0,3,Partial,Yes,21-09-1989,House,ELO,Paved,RM,2.6,4.6,4.3,3.85,291474,38863,9715800
P07697,Anna Nagar,1724,30-08-2008,173,1.0,1.0,4,Partial,Yes,05-09-1986,House,NoSeWa,Gravel,RL,3.3,3.1,3.1,3.17,401541,220200,12952940
P04850,Karapakkam,653,18-06-2010,121,1.0,1.0,2,AdjLand,No,22-06-1995,Commercial,ELO,No Access,RM,2.5,3.1,5.0,3.68,297775,160340,7635250
P08777,Adyar,1062,23-08-2007,45,1.0,1.0,3,Partial,No,24-08-2000,House,NoSeWa,Paved,RL,2.9,2.1,2.0,2.29,306745,127811,8520705
P09665,Velachery,1942,09-04-2006,126,3.0,2.0,5,Partial,Yes,15-04-1981,Commercial,AllPub,No Access,RL,4.1,3.4,2.7,3.37,583655,324253,16212650
P02215,Karapakkam,938,13-11-2011,70,1.0,1.0,3,Normal Sale,No,24-11-1965,House,AllPub,Gravel,C,2.3,2.2,3.7,2.83,181985,113126,4918500
P03495,KK Nagar,2051,17-03-2011,30,3.0,2.0,5,Partial,No,18-03-2005,House,NoSewr ,Gravel,RM,3.0,2.1,4.4,3.29,411765,160131,11437920
P07900,Chrompet,932,30-06-2008,139,1.0,1.0,3,Normal Sale,No,07-07-1980,House,NoSewr ,Paved,RH,3.6,3.8,4.4,3.92,230099,107859,7190600
P06099,Karapakkam,1479,23-10-2009,156,2.0,2.0,4,AbNormal,Yes,25-10-2000,House,AllPub,NoAccess,RH,4.2,2.9,4.4,3.89,367751,147101,8172250
P06486,T Nagar,1869,09-08-2009,143,2.0,1.0,5,AbNormal,Yes,19-08-1970,Commercial,NoSewr ,No Access,RM,3.6,2.5,3.6,3.325,851325,191548,21283130
P08990,Chrompet,1202,21-05-2007,149,2.0,1.0,4,AdjLand,No,22-05-2003,Others,AllPub,No Access,RM,4.1,2.0,4.1,3.26,292010,73003,10428940
